Workflow,State,Permission,Roles
comment_one_state_workflow,published,Change portal events,"Manager, Owner, Editor, Site Administrator"
comment_one_state_workflow,published,Modify portal content,"Manager, Owner, Editor, Site Administrator"
comment_one_state_workflow,published,Access contents information,Anonymous
comment_one_state_workflow,published,View,
task_workflow,to_assign,Review portal content,"Manager, Reviewer, Site Administrator"
task_workflow,to_assign,Modify portal content,"Editor, Manager, Site Administrator"
task_workflow,to_assign,Delete objects,"Manager, Site Administrator"
task_workflow,to_assign,Request review,"Editor, Manager, Site Administrator"
task_workflow,to_assign,Access contents information,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
task_workflow,to_assign,View,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
task_workflow,realized,Review portal content,"Manager, Reviewer, Site Administrator"
task_workflow,realized,Modify portal content,"Editor, Manager, Site Administrator"
task_workflow,realized,Delete objects,"Manager, Site Administrator"
task_workflow,realized,Request review,"Editor, Manager, Site Administrator"
task_workflow,realized,Access contents information,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
task_workflow,realized,View,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
task_workflow,created,Review portal content,"Contributor, Manager, Reviewer, Site Administrator"
task_workflow,created,Modify portal content,"Contributor, Editor, Manager, Owner, Site Administrator"
task_workflow,created,Delete objects,"Contributor, Editor, Manager, Owner, Site Administrator"
task_workflow,created,Add portal content,
task_workflow,created,Request review,"Contributor, Editor, Manager, Owner, Site Administrator"
task_workflow,created,Access contents information,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
task_workflow,created,View,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
task_workflow,to_do,Review portal content,"Manager, Reviewer, Site Administrator"
task_workflow,to_do,Modify portal content,"Editor, Manager, Site Administrator"
task_workflow,to_do,Delete objects,"Manager, Site Administrator"
task_workflow,to_do,Request review,"Editor, Manager, Site Administrator"
task_workflow,to_do,Access contents information,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
task_workflow,to_do,View,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
task_workflow,closed,Review portal content,"Manager, Reviewer, Site Administrator"
task_workflow,closed,Modify portal content,"Editor, Manager, Site Administrator"
task_workflow,closed,Delete objects,"Manager, Site Administrator"
task_workflow,closed,Request review,"Editor, Manager, Site Administrator"
task_workflow,closed,Access contents information,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
task_workflow,closed,View,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
task_workflow,in_progress,Review portal content,"Manager, Reviewer, Site Administrator"
task_workflow,in_progress,Modify portal content,"Editor, Manager, Site Administrator"
task_workflow,in_progress,Delete objects,"Manager, Site Administrator"
task_workflow,in_progress,Request review,"Editor, Manager, Site Administrator"
task_workflow,in_progress,Access contents information,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
task_workflow,in_progress,View,"Contributor, Editor, Manager, Owner, Reader, Reviewer, Site Administrator"
activation_workflow,disabled,Review portal content,"Manager, Contributor, Editor, Owner"
activation_workflow,disabled,Modify portal content,"Manager, Contributor, Editor, Owner"
activation_workflow,disabled,Acces contents information,"Reader, Manager, Contributor, Editor, Owner"
activation_workflow,disabled,Delete objects,"Manager, Contributor, Editor, Owner"
activation_workflow,disabled,Access contents information,"Reader, Manager, Contributor, Editor, Owner"
activation_workflow,disabled,View,"Reader, Manager, Contributor, Editor, Owner"
activation_workflow,enabled,Review portal content,"Manager, Contributor, Editor, Owner"
activation_workflow,enabled,Modify portal content,"Manager, Contributor, Editor, Owner"
activation_workflow,enabled,Acces contents information,"Manager, Contributor, Reader, Editor, Owner"
activation_workflow,enabled,Delete objects,"Manager, Contributor, Editor, Owner"
activation_workflow,enabled,Access contents information,"Manager, Contributor, Reader, Editor, Owner"
activation_workflow,enabled,View,"Manager, Contributor, Reader, Editor, Owner"
urban_licence_workflow,in_progress,Review portal content,"Reviewer, Contributor, Manager"
urban_licence_workflow,in_progress,Modify portal content,"Editor, Contributor, Manager"
urban_licence_workflow,in_progress,Acces contents information,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,in_progress,Modify view template,Manager
urban_licence_workflow,in_progress,Delete objects,"Editor, Contributor, Manager"
urban_licence_workflow,in_progress,Add portal content,"Editor, Contributor, Manager"
urban_licence_workflow,in_progress,Manage properties,"Contributor, Editor, Manager"
urban_licence_workflow,in_progress,Access contents information,"Reader, Editor, Contributor, Manager"
urban_licence_workflow,in_progress,View,"Reader, Editor, Contributor, Manager"
